id,fold_0,initial_0,final_0,fold_1,initial_1,final_1,fold_2,initial_2,final_2,fold_3,initial_3,final_3,fold_4,initial_4,final_4,toxic_pred
57,train,0.69624126,0.78211135,train,0.66082525,0.70408183,train,0.7739637,0.818618,train,0.7534413,0.76857364,valid,0.6633399,0.66141903,0.74696076
58,train,0.026167743,0.029067103,valid,0.03562001,0.019645855,train,0.059742935,0.025864877,train,0.06555515,0.07765366,train,0.030762814,0.02747682,0.035941664
59,train,0.80435634,0.88247037,train,0.6889522,0.89668,train,0.7689091,0.84304184,valid,0.8573414,0.9444797,train,0.74512875,0.84063625,0.8814616
60,valid,0.0039226618,0.006079127,train,0.02016549,0.01671151,train,0.007369111,0.009051864,train,0.010635277,0.016332572,train,0.020875983,0.022481153,0.014131245
61,train,0.24933474,0.2697901,train,0.14239936,0.21666373,train,0.38344705,0.33496964,valid,0.24950382,0.23235045,train,0.5398418,0.4503091,0.3008166
62,train,0.01549539,0.0081984075,train,0.016155154,0.044393934,valid,0.028112035,0.012551337,train,0.0144047,0.018317617,train,0.01864541,0.012298898,0.019152038
63,train,0.033333935,0.05127052,train,0.06696076,0.072128005,train,0.0392886,0.040345892,valid,0.038656224,0.049694307,train,0.08851786,0.07749419,0.05818658
64,train,0.0897582,0.06406762,train,0.08917576,0.106855236,valid,0.075933166,0.026647776,train,0.1382353,0.17106104,train,0.20406859,0.12600957,0.09892825
65,train,0.032725982,0.085090965,train,0.12614666,0.10103263,train,0.15961437,0.11130463,train,0.020705508,0.037941452,valid,0.18317164,0.18058129,0.1031902
66,train,0.07633777,0.046454452,train,0.21930148,0.22186068,valid,0.05606299,0.026905693,train,0.09614445,0.105946474,train,0.12734707,0.096150234,0.09946351
67,train,0.022792852,0.04064571,train,0.059164114,0.07377883,train,0.031249598,0.030911895,train,0.04020281,0.04320999,valid,0.040490355,0.03201778,0.04411284
68,valid,0.028926486,0.09805166,train,0.04460617,0.09527465,train,0.035584215,0.052446045,train,0.121864215,0.12308474,train,0.12130492,0.128418,0.099455014
69,train,0.08343859,0.13608363,valid,0.16934428,0.104605876,train,0.10404956,0.06848976,train,0.048627585,0.07483628,train,0.06549465,0.06089769,0.08898265
70,train,0.06627045,0.13719064,valid,0.13590094,0.13098852,train,0.10070281,0.07499593,train,0.053494558,0.081099294,train,0.13430712,0.13304487,0.11146386
71,train,0.1424627,0.25512478,train,0.3258411,0.48364478,train,0.28394777,0.2396356,train,0.25345662,0.31984347,valid,0.046998285,0.06010124,0.27166995
72,train,0.14858823,0.10937357,train,0.07739767,0.109290615,train,0.18492003,0.08819896,valid,0.23464628,0.21873145,train,0.18389556,0.10304293,0.1257275
73,train,0.2850006,0.38888577,train,0.36964148,0.39696142,train,0.3745119,0.24184816,valid,0.025593434,0.03706433,train,0.2839665,0.29048294,0.2710485
74,train,0.04156166,0.066206545,train,0.054204464,0.052217297,valid,0.055302594,0.07681055,train,0.010938221,0.017568043,train,0.018668095,0.01710223,0.04598093
75,train,0.03900415,0.031557024,train,0.05693834,0.07915212,valid,0.0443858,0.023925643,train,0.061720762,0.06413991,train,0.084942475,0.046656244,0.04908619
76,train,0.007482142,0.012084801,train,0.0068116365,0.034359396,valid,0.010951481,0.013571754,train,0.021730416,0.030314013,train,0.033702347,0.033148978,0.024695788
77,valid,0.14411357,0.31147844,train,0.3555894,0.2538801,train,0.2575472,0.21731244,train,0.044349298,0.07739259,train,0.25541604,0.25396255,0.22280522
78,train,0.034103796,0.07590695,train,0.0790326,0.14705683,valid,0.05939361,0.054241683,train,0.038047507,0.051367775,train,0.105243124,0.07311866,0.080338374
79,valid,0.07792182,0.18282962,train,0.113098584,0.093008354,train,0.066985294,0.035185114,train,0.06908061,0.10310362,train,0.175341,0.13910253,0.110645846
80,train,0.26937488,0.42190537,train,0.14418215,0.24873896,valid,0.23918778,0.16559435,train,0.067667805,0.108426236,train,0.19039832,0.21466497,0.23186597
81,train,0.30097133,0.2317649,train,0.5248064,0.48315918,train,0.6132572,0.45849985,valid,0.13218784,0.17887414,train,0.28661263,0.2117922,0.31281808
82,valid,0.042375363,0.077449925,train,0.13138902,0.09882522,train,0.15881611,0.07582152,train,0.032196317,0.056919843,train,0.06745877,0.055173628,0.07283802
83,train,0.90561837,0.941246,train,0.90773296,0.9772045,train,0.9454714,0.96294284,valid,0.99076056,0.99020725,train,0.84396714,0.9206937,0.9584589
84,train,0.035327394,0.049762785,train,0.065993555,0.042546313,valid,0.029376725,0.016555808,train,0.029822282,0.04830068,train,0.050347213,0.04896304,0.041225724
85,valid,0.7200137,0.8429813,train,0.83475184,0.94222677,train,0.8147741,0.87945944,train,0.69235045,0.7262155,train,0.82082736,0.89164996,0.8565065
86,train,0.07652775,0.13808775,train,0.20975895,0.100669354,train,0.16784146,0.110915504,valid,0.043544233,0.06850103,train,0.13237345,0.10541161,0.10471705
87,train,0.10620217,0.26915324,train,0.24754333,0.286172,train,0.3277315,0.23144573,valid,0.21106832,0.34706664,train,0.30619097,0.28005746,0.28277904
88,train,0.12817001,0.2810952,valid,0.19931173,0.31644925,train,0.15167964,0.21902719,train,0.17001334,0.17431034,train,0.21838374,0.18084604,0.23434559
89,train,0.09315698,0.20444761,train,0.23863102,0.2357942,valid,0.31080896,0.21450058,train,0.12229602,0.23462771,train,0.20696256,0.15298468,0.20847097
90,valid,0.018500835,0.0353549,train,0.032849588,0.060855024,train,0.0343267,0.039801236,train,0.0070634875,0.012919847,train,0.02963505,0.031851254,0.036156453
91,valid,0.3409819,0.54524446,train,0.29493296,0.4545943,train,0.4123867,0.5091023,train,0.24035446,0.21266279,train,0.48701543,0.35035127,0.41439104
92,train,0.038096648,0.078184545,train,0.1403515,0.107096605,valid,0.046668556,0.03910265,train,0.056581315,0.10085537,train,0.148887,0.10422083,0.08589201
93,train,0.007151722,0.015286559,train,0.019368175,0.038686097,train,0.036043055,0.04236053,valid,0.029777206,0.04263365,train,0.044700902,0.037396967,0.03527276
94,valid,0.007927261,0.0124569945,train,0.010474764,0.015549355,train,0.0072177276,0.009362557,train,0.012089241,0.014806671,train,0.009661598,0.010832148,0.012601544
95,train,0.069243655,0.1028907,valid,0.020501478,0.15630275,train,0.04436206,0.046088673,train,0.03125762,0.041196093,train,0.043361884,0.019959481,0.07328754
96,train,0.04749691,0.1464995,valid,0.16080436,0.1484664,train,0.046751045,0.06633508,train,0.084262565,0.08393322,train,0.143448,0.11527698,0.11210223
97,train,0.03869881,0.06984547,train,0.076483406,0.12424867,train,0.017804706,0.02858332,train,0.049200755,0.05884309,valid,0.10898499,0.080280446,0.0723602
98,train,0.3308646,0.46811733,valid,0.40674472,0.54111654,train,0.44773427,0.38952386,train,0.13131833,0.18112186,train,0.45523104,0.443723,0.4047205
99,train,0.27836055,0.26825583,train,0.12641394,0.13790785,train,0.14648506,0.0792876,train,0.12551887,0.13251764,valid,0.15889186,0.12264262,0.14812231
100,train,0.029734956,0.06614829,train,0.04344001,0.071731605,train,0.05127086,0.07339291,train,0.04619202,0.060162574,valid,0.041193947,0.04774046,0.06383517
101,train,0.025182294,0.04659757,valid,0.071786836,0.085102215,train,0.02627047,0.032638505,train,0.04999401,0.058895808,train,0.01592868,0.014981794,0.047643177
102,train,0.083398834,0.14182563,train,0.06175752,0.105280265,train,0.2504502,0.2085762,train,0.045958858,0.09454673,valid,0.2703787,0.25648665,0.1613431
103,train,0.23116584,0.34073526,train,0.34004048,0.43933058,train,0.36899078,0.34369826,valid,0.09529208,0.12008459,train,0.3720073,0.3542637,0.31962246
104,train,0.09157177,0.1814225,train,0.3666124,0.3044795,train,0.18123212,0.15327367,train,0.06243843,0.107361935,valid,0.22935784,0.22832371,0.19497225
105,train,0.10788176,0.061160546,train,0.076034196,0.08976843,train,0.22668634,0.14426449,train,0.045182467,0.04653427,valid,0.06643172,0.051564984,0.07865854
106,train,0.09473349,0.17447324,train,0.07597197,0.054906573,valid,0.1260071,0.07593075,train,0.03051613,0.060836185,train,0.14731477,0.1286991,0.09896918
107,valid,0.051036913,0.14579311,train,0.045270372,0.08964077,train,0.08126317,0.111116596,train,0.051785767,0.05947715,train,0.1967767,0.13748413,0.10870235
108,train,0.16493997,0.3135807,train,0.20025541,0.29367346,train,0.10274262,0.075447455,valid,0.07946709,0.13034356,train,0.17443971,0.13558342,0.18972571
109,train,0.7360695,0.792262,train,0.70495254,0.7146958,train,0.7606766,0.727521,train,0.65808976,0.657767,valid,0.74447805,0.7677205,0.73199326
110,valid,0.12543537,0.33109045,train,0.22317949,0.27741396,train,0.23948069,0.31714314,train,0.24016285,0.21819267,train,0.24314784,0.22422847,0.27361375
111,train,0.06395814,0.06501692,train,0.093349345,0.16997749,train,0.15733136,0.07398584,train,0.124938786,0.11634588,valid,0.17211464,0.113648936,0.107795015
112,valid,0.029667538,0.067464866,train,0.11229814,0.07231454,train,0.086753696,0.033649646,train,0.034006417,0.061073434,train,0.059757188,0.04194463,0.055289425
113,train,0.49915588,0.54822403,valid,0.4044793,0.32405353,train,0.39543635,0.33899257,train,0.2582844,0.2569452,train,0.54945594,0.49340382,0.3923238
114,train,0.17844693,0.26724616,train,0.120035484,0.34416586,valid,0.44254535,0.39891386,train,0.1690198,0.20682377,train,0.19411762,0.14579673,0.2725893
115,train,0.011996359,0.025257012,train,0.025671052,0.027425809,valid,0.017534085,0.020730443,train,0.037839364,0.045449704,train,0.045247126,0.0349978,0.030772155
116,train,0.11495832,0.24136811,train,0.25665134,0.17906357,valid,0.1741978,0.11943462,train,0.13850068,0.18973333,train,0.40742156,0.3638648,0.21869287
117,valid,0.661585,0.6491554,train,0.5619021,0.6142175,train,0.5322272,0.4104584,train,0.2163033,0.19473396,train,0.40219313,0.37676966,0.44906697
118,train,0.33663958,0.29590973,train,0.28202096,0.39611223,train,0.20754114,0.11421137,train,0.29458675,0.20282868,valid,0.41650122,0.34548002,0.27090842
119,train,0.7012249,0.70533395,valid,0.40236768,0.41501537,train,0.63890326,0.62011135,train,0.6046294,0.5606334,train,0.61110663,0.5891046,0.57803977
120,train,0.034833923,0.06410977,train,0.18221267,0.09248025,valid,0.11981061,0.057700325,train,0.029271312,0.057027094,train,0.04531763,0.0404466,0.062352806
121,train,0.027482336,0.053673647,train,0.031598043,0.061487257,train,0.041769955,0.057343688,valid,0.021689197,0.029302945,train,0.0432063,0.049360186,0.050233543
122,train,0.0112727685,0.030358369,train,0.024474183,0.03561026,valid,0.02597055,0.028975835,train,0.037247345,0.042788252,train,0.04725655,0.037589412,0.035064425
123,valid,0.07243846,0.17796744,train,0.058452375,0.049377676,train,0.07458812,0.07394632,train,0.2153067,0.15438446,train,0.115333475,0.08555917,0.10824702
124,train,0.12719995,0.2288466,train,0.39479828,0.35419005,valid,0.28167298,0.23506688,train,0.1650438,0.25906417,train,0.26160458,0.25769332,0.2669722
125,train,0.07234833,0.15635681,train,0.26315874,0.23649117,train,0.18976146,0.12599248,train,0.07942446,0.1193895,valid,0.13602494,0.15414236,0.15847446
126,train,0.028105363,0.045766443,train,0.031905748,0.04134896,train,0.024164643,0.030489149,train,0.030727906,0.041602794,valid,0.018730061,0.016135294,0.035068527
127,valid,0.10919241,0.15563335,train,0.058610786,0.19141693,train,0.11930844,0.11801344,train,0.2043968,0.22213565,train,0.2154619,0.13345021,0.16412991
128,train,0.027482336,0.053673647,train,0.031598043,0.061487257,train,0.041769955,0.057343688,train,0.021689197,0.029302945,valid,0.0432063,0.049360186,0.050233543
129,train,0.048658125,0.11438683,train,0.2229456,0.3126635,valid,0.1821701,0.14196299,train,0.061469372,0.09405192,train,0.039568305,0.07126481,0.146866
130,train,0.031339336,0.07854511,train,0.08795937,0.12807123,train,0.066753596,0.06928291,valid,0.11063995,0.11355267,train,0.115155295,0.07983018,0.09385642
131,train,0.051716074,0.058221314,train,0.074774094,0.063624896,train,0.058919687,0.042902336,valid,0.032255575,0.05454884,train,0.034860738,0.025682433,0.048995964
132,train,0.02552681,0.035359904,train,0.039961144,0.14444365,train,0.056024306,0.06175931,valid,0.015303681,0.02020006,train,0.04827253,0.05296654,0.06294589
133,train,0.013773772,0.04495796,train,0.10629558,0.25365174,valid,0.46408698,0.37458467,train,0.061243333,0.08879844,train,0.11996113,0.09942416,0.17228341
134,valid,0.10920718,0.12596813,train,0.12060402,0.0785146,train,0.14345996,0.089554586,train,0.09273744,0.0961883,train,0.090350516,0.07215413,0.09247595
135,train,0.004789852,0.0054047187,valid,0.007115979,0.0062272036,train,0.018121853,0.017476777,train,0.006651615,0.007981918,train,0.00735741,0.0058357324,0.00858527
136,train,0.033449426,0.05144175,train,0.047769696,0.046093483,valid,0.041424472,0.03574853,train,0.018253984,0.027908767,train,0.07875885,0.07964161,0.04816683
137,train,0.5495251,0.58687055,train,0.3193924,0.4045692,train,0.6841707,0.6606464,train,0.47776285,0.5024731,valid,0.5292608,0.4563831,0.5221885
138,valid,0.12968953,0.19399318,train,0.22201516,0.23576263,train,0.08045148,0.064621374,train,0.088198416,0.14924106,train,0.20141563,0.14646286,0.15801622
139,train,0.30198607,0.25214708,valid,0.3401265,0.30470657,train,0.37570247,0.32080227,train,0.218515,0.203047,train,0.39052838,0.36926672,0.28999394
140,train,0.20672955,0.22096239,train,0.21949725,0.3250769,train,0.43631637,0.2983755,train,0.08292425,0.11222139,valid,0.20702173,0.16811621,0.22495048
141,train,0.8160052,0.88341653,train,0.85008574,0.95746017,train,0.79386973,0.8651183,valid,0.89551055,0.865026,train,0.7527813,0.857124,0.885629
142,train,0.03256526,0.020863058,train,0.01626174,0.06969735,train,0.050003238,0.02225485,valid,0.056302387,0.06609385,train,0.12543747,0.07466327,0.050714474
143,train,0.0126191145,0.029659221,train,0.102327645,0.040254537,train,0.06488965,0.031944837,valid,0.016122513,0.0352879,train,0.015895417,0.020627538,0.03155481
144,train,0.018365726,0.0524407,valid,0.09947036,0.048547845,train,0.08387708,0.037626702,train,0.034171455,0.07217608,train,0.06353272,0.0514949,0.052457243
145,train,0.07104396,0.12970747,train,0.0700672,0.11531745,valid,0.18274722,0.20101658,train,0.07630431,0.06612113,train,0.33255306,0.24112606,0.15065774
146,train,0.04189352,0.08208095,train,0.12280608,0.36271676,valid,0.23582557,0.26587394,train,0.16537704,0.19406967,train,0.38366473,0.28799203,0.23854668
147,train,0.055443574,0.11566146,train,0.1743632,0.3801261,train,0.06889378,0.11415564,train,0.09931474,0.09262906,valid,0.259105,0.27318075,0.19515061
148,valid,0.22750303,0.16832732,train,0.18408562,0.21187912,train,0.1157256,0.07142205,train,0.047271166,0.05688778,train,0.21440676,0.15942328,0.13358791
149,valid,0.5125607,0.5206577,train,0.2979542,0.30814585,train,0.56711113,0.4458136,train,0.391823,0.32343185,train,0.4143194,0.3347284,0.3865555
150,train,0.5723095,0.6157356,train,0.56185865,0.6122482,train,0.67348206,0.5590393,valid,0.5843337,0.5777015,train,0.5694874,0.59889674,0.59272426
151,train,0.027726578,0.060478557,train,0.13605025,0.18966222,train,0.15149368,0.10503512,train,0.056847587,0.10044884,valid,0.054689717,0.054859493,0.102096856
152,train,0.09509713,0.1091013,valid,0.07341738,0.14028184,train,0.14369208,0.09089454,train,0.062261675,0.06737669,train,0.14104281,0.08939446,0.099409774
153,train,0.22789483,0.3533307,train,0.35128638,0.28543526,train,0.283515,0.29846784,train,0.09300512,0.15339628,valid,0.44362134,0.45837924,0.30980188
154,train,0.14013188,0.15376867,train,0.3231458,0.16782597,train,0.24449526,0.16395521,train,0.17193642,0.16301502,valid,0.40352142,0.3778224,0.20527744
155,train,0.73278135,0.7920919,train,0.6883122,0.7582952,train,0.7409944,0.7030469,train,0.7136222,0.77137136,valid,0.6513863,0.6590354,0.7367682
156,train,0.00173082,0.0056795026,train,0.08592092,0.025525138,train,0.104247116,0.05265461,train,0.01676021,0.028341271,valid,0.006233749,0.006756628,0.023791429
157,train,0.44969139,0.5661674,train,0.2381662,0.60659426,valid,0.25714314,0.2669068,train,0.9184361,0.866602,train,0.69630456,0.6221198,0.585678
158,train,0.15819104,0.12904932,train,0.07178808,0.11574683,train,0.16436684,0.1167726,valid,0.08279029,0.08340525,train,0.0894592,0.05627561,0.100249924
159,train,0.029733429,0.054226052,train,0.11563586,0.12661806,train,0.08626732,0.054286197,train,0.052426998,0.08359567,valid,0.09469585,0.06074442,0.07589408
160,valid,0.08740417,0.07357411,train,0.013958263,0.055404346,train,0.15072875,0.08260333,train,0.04386241,0.059989143,train,0.1256205,0.081073165,0.07052882
161,train,0.06618556,0.13148643,train,0.1839527,0.23015463,train,0.2852837,0.17920443,train,0.07602899,0.14168353,valid,0.2543151,0.23295787,0.18309739
162,train,0.0070494083,0.02187846,train,0.019145785,0.024795605,train,0.035491336,0.029436896,train,0.030450057,0.036729537,valid,0.022619257,0.014861443,0.025540387
163,train,0.01660986,0.037042446,train,0.038457092,0.050995912,train,0.029285548,0.037015602,train,0.017101973,0.028046144,valid,0.028898286,0.022397354,0.03509949
164,train,0.091858186,0.15923285,train,0.035225425,0.07950674,train,0.0081833,0.013831916,valid,0.032854006,0.032743994,train,0.015006569,0.010172154,0.059097536
165,train,0.075558774,0.04450742,train,0.024934068,0.059656575,train,0.049409624,0.019875428,train,0.033234376,0.03548129,valid,0.041680623,0.027143646,0.03733287
166,valid,0.039664827,0.052696176,train,0.046762936,0.13303761,train,0.049124096,0.05474121,train,0.06400494,0.089776926,train,0.06978985,0.076471455,0.08134468
167,train,0.035453297,0.07233255,train,0.07340629,0.040921733,train,0.09352385,0.071093805,train,0.056432445,0.08018966,valid,0.15365243,0.1850088,0.08990931
168,valid,0.45457712,0.46148396,train,0.25030804,0.3182381,train,0.21131903,0.18050534,train,0.1737135,0.17314759,train,0.34894672,0.3005103,0.28677708
169,train,0.71962184,0.8046145,train,0.6044021,0.78737867,train,0.7202828,0.74105805,train,0.76002985,0.7442969,valid,0.5158857,0.59808123,0.73508584
170,train,0.09197861,0.20082276,train,0.09000754,0.1598108,train,0.19500259,0.26968992,valid,0.2108016,0.22669873,train,0.1552269,0.171586,0.20572165
171,train,0.023711327,0.047898192,valid,0.05201372,0.05206145,train,0.038046874,0.034988485,train,0.042466328,0.04764149,train,0.07085388,0.045314126,0.045580752
172,train,0.3552933,0.52566904,train,0.28670338,0.33449212,train,0.21439521,0.29406682,train,0.29799798,0.24534997,valid,0.30358374,0.31580144,0.3430759
173,train,0.0118494015,0.021411505,train,0.03583739,0.035658155,train,0.013937782,0.017518492,valid,0.01558751,0.019768894,train,0.015421229,0.014676159,0.02180664
174,train,0.010270613,0.035850447,valid,0.07099595,0.108439855,train,0.0151854465,0.02422186,train,0.08490134,0.087901935,train,0.16736759,0.12915795,0.07711442
